GENE	Control1SE	Control2SE	Nitrate1SE	Nitrate2SE
AT5G42370	0	1	1	3
AT3G22690	2	4	1	1
AT2G02040	41	37	13	8
AT2G31840	9	13	10	3
AT3G21370	0	0	1	0
AT3G57190	0	2	0	0
AT5G11090	102	141	72	60
AT5G62880	12	19	9	11
AT2G20950	47	42	51	28
AT1G63020	2	10	6	9
AT5G37990	85	83	40	18
AT2G45620	43	73	50	39
AT5G51390	1	1	0	1
AT4G36240	11	6	7	4
AT4G00370	14	20	13	11
AT5G11810	23	16	9	9
AT1G22450	83	94	69	50
AT5G54460	0	0	0	0
AT5G35605	0	1	0	0
AT5G13590	41	36	37	21
AT2G20230	23	28	15	14
AT3G15250	4	9	5	4
AT5G35120	0	0	0	0
AT2G17840	159	215	153	104
AT1G14740	115	134	119	83
AT5G41860	4	2	1	3
AT4G02170	1	3	0	2
AT1G48930	20	24	14	7
AT4G19130	0	2	3	1
AT1G69540	0	0	0	0
AT1G03870	51	84	44	50
AT1G13520	15	15	7	5
AT1G55205	1	1	2	0
AT1G05530	0	1	1	0
AT3G24700	0	0	0	0
AT5G58170	0	0	0	0
AT3G05540	0	0	0	0
AT1G16870	29	25	16	19
AT5G51760	0	3	1	0
AT1G78320	4	3	3	2
AT4G02070	8	16	8	11
AT1G51130	3	4	6	2
AT2G01650	34	53	39	31
AT4G16566	2	1	2	1
AT2G43590	73	61	54	43
AT2G21520	106	104	95	61
AT5G47240	2	3	1	0
AT5G44860	21	25	14	8
AT4G34580	14	17	11	7
AT5G11780	3	1	0	0
AT3G63233	0	0	0	0
AT1G33040	16	12	20	8
AT5G53660	0	0	0	0
AT1G08135	0	0	0	0
AT1G29010	0	0	0	0
AT5G55650	1	1	1	0
AT1G23201	1	1	0	0
AT1G09030	0	0	0	0
AT5G18450	0	0	0	0
AT1G20560	19	29	18	16
AT2G25630	1	0	0	0
AT2G35480	3	3	2	5
AT2G17600	0	0	0	0
AT5G20050	51	48	41	35
AT1G12840	134	176	90	77
AT1G42700	0	0	0	0
AT5G52470	199	365	259	252
AT1G07080	30	51	24	27
AT3G32130	0	0	0	0
AT1G14570	35	53	22	31
AT2G29300	0	0	0	0
AT4G03728	0	0	0	0
AT3G28750	0	2	0	0
AT4G34980	51	105	47	62
AT1G21310	103	226	57	87
AT1G20730	0	0	0	0
AT4G18190	0	0	0	0
AT3G44110	513	738	588	467
AT2G37550	75	134	71	58
AT5G16050	105	133	69	53
AT4G25980	0	1	0	1
AT5G25550	0	0	0	0
AT4G02740	15	21	19	15
AT1G18630	17	18	18	19
AT5G39680	3	4	1	0
AT1G09300	4	11	10	7
AT1G35710	2	3	2	1
AT1G24100	92	97	144	65
AT5G14620	9	10	6	6
AT2G22960	0	0	0	0
AT5G53205	0	0	0	0
AT5G38950	0	0	0	0
AT2G19580	13	23	6	16
AT3G46790	19	15	14	10
AT5G63060	0	2	0	0
AT5G07300	19	38	17	25
AT4G26555	4	5	1	2
AT4G19720	26	47	19	18
AT1G80850	4	4	4	2
AT3G03350	2	3	5	0
AT5G44375	0	2	1	1
AT1G34910	0	0	0	0
AT3G50870	5	2	1	5
AT1G50380	30	30	19	9
AT5G16440	33	59	29	37
AT1G28460	0	0	0	0
AT1G49500	0	1	2	1
AT5G37667	0	0	0	0
AT1G73860	2	2	3	1
AT3G08510	66	83	72	45
AT2G19820	0	0	0	0
AT3G49150	0	0	0	0
AT1G51810	0	0	0	0
AT5G62890	49	108	36	56
AT4G35920	19	22	17	12
AT1G25988	0	0	1	0
AT4G33210	45	46	22	24
AT4G22235	19	33	22	23
AT1G32370	1	2	2	2
AT5G47630	3	1	1	1
AT5G26820	3	4	3	2
AT4G23710	41	50	46	26
AT1G10670	132	134	97	63
AT5G11200	63	82	71	46
AT4G27270	13	18	14	16
AT2G40802	0	0	0	0
AT3G13437	1	0	1	1
AT1G20650	5	11	2	2
AT2G45695	9	13	8	6
AT3G43970	0	0	0	1
ATMG00150	1	1	0	0
AT2G33130	0	0	0	0
ATMG00980	1	0	0	1
AT5G22720	0	1	0	0
AT5G14380	0	2	1	0
AT1G54410	389	447	339	205
AT2G27920	7	3	5	4
AT5G19580	0	0	0	0
AT5G52690	2	4	0	2
AT4G22970	6	5	2	4
AT5G14440	39	43	72	43
ATCG00780	23	24	18	13
AT2G15280	4	12	9	0
AT2G31920	2	0	0	0
AT2G39100	3	10	6	4
AT3G61050	60	74	84	36
AT2G36540	0	0	0	0
AT4G20920	0	0	0	0
AT4G28570	30	55	21	20
AT1G30020	0	1	0	0
AT3G28780	0	0	0	0
AT5G20600	25	59	38	44
AT5G18740	0	0	1	1
AT3G58590	1	0	0	2
AT2G40210	0	0	0	0
AT5G14370	4	12	11	9
AT5G67360	115	174	69	127
AT1G09290	5	10	12	2
AT5G04130	13	13	17	7
AT2G42780	13	22	25	11
AT3G48020	26	19	17	15
AT5G50011	4	3	1	2
AT5G35160	73	93	45	54
AT2G35155	10	10	5	3
AT5G24950	0	0	0	0
AT3G51910	21	18	19	10
AT3G06890	3	3	1	4
AT4G25730	80	96	126	74
AT5G57270	7	15	12	5
AT5G53620	36	35	26	15
AT1G10010	0	0	0	0
AT3G26020	17	26	11	8
AT5G48120	17	14	13	10
AT4G12540	2	0	0	0
AT5G26250	0	0	0	0
AT1G72890	1	3	2	1
AT3G48057	0	0	0	0
AT2G01640	3	9	4	1
AT2G18910	6	15	4	8
AT1G50510	7	10	10	9
AT2G02300	0	1	1	0
AT3G20365	0	0	0	1
AT1G09460	4	3	2	5
AT1G77130	18	22	14	9
AT1G25175	0	0	0	0
AT2G35635	20	48	24	23
AT4G38140	1	0	0	1
AT1G51172	0	0	0	0
AT2G28405	0	0	0	0
AT3G28950	40	46	44	28
AT5G57670	0	0	1	1
AT1G13030	4	10	12	3
AT2G37195	3	4	4	4
ATCG00430	2	2	1	1
AT3G05960	0	0	0	0
AT2G42010	31	31	25	16
AT2G38860	119	161	169	115
AT2G45434	0	0	0	0
AT4G37180	2	8	15	10
AT3G27090	132	125	124	99
AT1G17744	56	61	36	14
AT2G37230	39	48	48	24
AT2G26990	43	48	43	27
AT1G31470	9	8	0	5
AT2G29520	0	1	0	1
AT5G50500	0	0	0	0
AT4G11880	9	8	2	3
AT4G01230	0	0	0	0
AT4G39820	29	51	30	22
AT1G77150	5	3	1	1
AT3G59570	5	7	2	4
AT5G28640	28	40	18	16
AT2G19440	1	0	0	1
AT3G02230	211	299	136	164
AT5G09500	0	0	1	0
AT5G66610	1	1	1	2
AT5G15170	10	11	4	6
AT3G61170	1	3	0	1
AT3G20760	10	20	8	8
AT5G62720	0	2	9	24
AT5G05530	0	0	0	0
AT1G02000	17	27	15	17
AT1G42550	19	20	17	12
AT5G54075	1	4	1	0
AT1G75810	34	38	21	28
AT2G02820	9	8	13	11
AT4G22780	65	75	61	56
AT2G38380	157	225	144	143
AT1G27180	18	19	21	8
ATMG00780	0	0	0	0
AT3G61870	6	4	3	3
AT1G74340	3	3	7	1
AT3G06040	38	41	56	17
AT1G47056	28	21	17	6
AT2G38940	4	29	4	10
AT1G70460	9	20	8	4
AT5G55120	19	28	19	17
AT4G27530	0	3	0	0
AT3G62450	7	2	5	1
AT2G19330	4	0	1	1
AT2G18950	3	4	1	6
AT3G07970	3	6	1	2
AT3G08700	0	0	1	0
AT5G41510	0	0	0	0
AT1G69295	20	32	19	23
AT2G40160	5	5	2	3
AT5G06610	23	23	11	10
AT5G26680	9	10	5	2
AT2G22470	37	51	24	53
AT5G22870	0	1	0	1
AT1G51745	21	18	14	10
AT1G06330	3	1	0	0
AT2G01940	1	1	0	0
AT3G59870	2	2	2	3
AT3G16430	128	176	53	66
AT3G20950	0	0	0	0
AT1G65980	209	270	145	149
AT4G14622	18	17	15	3
AT1G21730	11	9	4	5
AT3G54870	2	4	8	4
AT2G41810	0	0	0	1
AT3G32330	0	0	0	0
AT3G01202	11	14	6	5
AT1G35617	0	0	0	0
AT1G80790	31	28	23	14
AT3G23310	15	12	17	11
AT2G43400	9	16	6	3
AT4G37290	0	0	1	0
AT1G75730	6	6	2	3
AT4G27800	12	13	6	6
AT5G61900	17	24	11	11
AT5G44320	81	141	75	78
AT5G16790	2	2	0	0
AT2G33540	22	26	42	23
AT2G28355	0	0	0	0
AT2G24960	9	8	4	7
AT2G25610	25	31	15	15
AT5G05810	2	3	2	2
AT5G02610	39	51	32	21
AT1G17790	7	12	6	5
AT1G04930	2	5	1	0
AT4G32830	4	5	5	4
AT5G60390	824	1727	823	1005
AT4G15280	4	2	1	2
AT4G01925	6	6	1	2
AT5G18270	53	56	40	27
AT5G20290	746	1181	791	755
AT5G10980	78	110	71	68
AT2G32210	4	3	1	2
AT3G09150	3	1	1	1
AT3G15360	11	12	7	3
AT5G03400	0	0	0	0
AT3G14990	661	901	515	565
AT5G14530	5	11	3	4
AT2G17320	8	11	8	5
AT4G27600	7	11	7	8
AT4G34790	0	0	1	0
AT4G14965	17	17	17	3
AT3G51400	4	3	0	2
AT4G15417	3	7	3	0
AT1G09140	48	71	42	53
AT4G13560	0	0	0	0
AT1G20420	6	6	7	5
AT3G19920	0	0	0	0
AT5G16310	12	6	7	3
AT3G53860	2	3	3	0
AT5G50800	5	4	11	10
AT1G22630	0	0	3	0
AT5G08730	0	0	0	0
AT1G50410	21	26	14	15
AT2G15300	16	10	13	9
AT1G47980	0	0	0	0
AT1G48800	3	0	0	0
AT5G40680	0	0	0	0
AT5G36300	0	0	0	0
AT1G32050	69	93	54	46
AT4G35020	10	24	13	12
AT5G16240	14	9	6	4
AT2G21237	0	0	0	0
AT4G24930	5	9	12	5
AT4G25510	0	1	0	0
AT3G51010	39	67	51	33
AT5G48360	14	7	7	3
AT4G23860	14	24	19	10
AT1G09740	26	46	58	58
AT4G16230	4	2	5	1
AT5G60190	7	8	17	4
AT1G13700	1	1	3	1
AT1G57700	6	10	5	11
AT5G16715	6	4	3	5
AT1G50990	0	0	0	0
AT2G25130	2	3	0	2
AT1G03905	14	20	24	7
AT5G52170	2	3	2	2
AT1G22150	4	4	3	5
AT1G03660	1	0	0	0
AT3G42725	1	0	2	1
AT3G51238	490	671	296	242
AT1G55910	8	9	7	5
AT5G25800	1	8	4	0
AT1G07500	31	13	13	12
AT1G19870	126	129	85	56
AT1G70260	4	5	57	51
AT1G23145	0	0	0	0
AT1G54280	0	0	0	0
AT2G22680	53	62	40	44
AT1G63860	0	1	2	2
AT2G40330	151	183	216	142
AT3G10010	11	7	4	6
AT5G41740	4	4	4	3
AT4G16420	22	38	29	16
AT3G62890	0	1	0	0
AT1G10250	0	0	0	0
AT2G02540	0	0	0	0
AT1G64180	5	3	2	2
AT5G46630	68	101	52	48
AT5G44520	0	2	0	3
AT1G11175	9	14	3	8
AT1G51850	25	36	18	16
AT1G45191	0	0	0	0
AT2G03720	7	17	13	3
AT4G18020	23	49	15	12
AT3G28670	10	14	6	6
AT1G51710	67	85	68	48
AT3G03000	28	45	25	17
AT3G47210	25	37	18	19
AT5G50180	28	22	24	11
AT4G39750	0	0	0	0
AT3G17670	0	1	0	1
AT4G05105	0	0	0	0
AT3G05450	0	0	0	0
AT5G20130	7	25	19	17
AT2G48100	27	25	38	21
AT3G55420	14	18	19	11
AT5G63260	14	17	7	6
AT5G49520	9	9	6	7
AT2G38480	4	2	2	2
AT1G72720	0	0	1	1
AT3G05010	13	7	8	3
AT3G46220	24	33	8	14
AT5G52630	6	4	3	3
AT1G18810	0	0	0	0
AT3G50810	5	10	4	5
AT5G38060	0	1	0	0
AT1G09930	0	0	0	0
AT1G10585	0	1	0	0
AT1G26940	14	14	13	9
AT5G61180	0	0	0	0
AT5G45240	0	1	2	0
AT4G28510	37	34	33	21
AT2G33435	26	24	25	15
AT2G02450	0	0	0	0
AT3G23940	38	57	34	38
AT4G37690	1	2	2	1
AT3G28420	0	1	0	0
AT4G30975	1	2	1	2
AT1G54560	0	0	0	0
AT1G18800	47	22	65	21
AT4G30420	2	5	0	2
AT1G01510	42	67	28	34
AT2G02440	0	0	0	0
AT3G45920	0	0	0	1
AT5G19290	66	71	69	46
AT2G20835	0	0	0	0
AT2G27430	5	1	3	3
AT3G02910	250	290	385	354
AT1G20320	0	0	0	0
AT2G01330	7	8	6	3
AT5G49610	4	8	12	4
AT1G09815	27	41	29	23
AT1G66880	37	32	37	24
AT4G15020	32	49	26	12
AT3G22420	3	1	5	1
AT4G33020	3	1	1	2
AT1G51790	19	25	21	17
AT3G05880	20	27	13	26
AT5G19540	3	8	7	3
AT1G80600	34	95	71	55
AT1G05260	78	121	130	86
AT5G15410	2	5	5	3
AT4G05150	112	114	38	49
AT5G20660	33	37	24	25
AT3G61920	0	0	0	0
AT4G16720	747	1073	830	778
AT5G07370	22	21	32	13
AT1G01500	10	20	18	19
AT2G20350	0	0	0	0
AT5G01450	12	21	10	9
AT5G25265	22	36	15	18
AT1G01150	0	0	0	0
AT1G63310	7	8	2	6
AT3G44970	2	0	0	0
AT3G02242	0	0	0	0
AT2G26530	19	11	5	5
AT2G41860	0	0	0	0
AT1G48220	0	0	0	0
AT4G34332	0	0	1	1
AT4G35025	0	0	0	0
AT3G23270	0	0	0	0
AT1G18010	0	0	1	0
AT3G07680	26	37	15	13
AT4G27430	73	82	54	42
AT3G57400	22	30	25	10
AT2G39760	21	27	12	14
AT2G42980	4	2	2	0
AT5G58720	56	57	66	42
AT5G63340	2	2	0	1
AT1G10770	0	0	0	0
AT2G27145	0	0	0	0
AT5G13180	41	42	61	56
AT4G32780	7	5	4	2
AT3G09660	4	1	0	3
AT5G47550	21	24	14	22
AT1G69252	23	26	27	14
AT2G29900	14	8	3	7
AT4G28640	11	11	5	1
AT5G61760	18	19	15	10
AT1G03890	0	0	0	0
AT4G15775	18	20	23	7
AT1G54920	46	55	38	11
AT2G32290	0	1	0	0
AT1G50640	35	52	34	14
AT3G20670	30	32	29	13
AT5G27600	48	50	21	17
AT3G23630	1	2	0	1
AT1G32950	2	2	0	0
AT5G14880	20	26	16	9
AT4G11220	105	163	119	97
AT1G29265	0	0	0	0
AT3G22100	0	0	0	0
AT1G27940	0	0	0	0
AT1G27090	109	175	107	110
AT4G34840	1	5	1	1
AT1G71110	6	15	9	5
AT1G19630	0	1	0	0
AT1G69980	13	9	11	7
AT3G52090	25	18	8	16
AT5G13670	1	0	1	0
AT1G18150	38	51	45	21
AT2G03550	0	1	0	0
AT4G16570	2	4	4	2
AT1G26570	1	2	1	2
AT3G25700	4	1	1	3
AT4G14301	0	0	0	0
AT1G69420	40	44	32	17
AT4G10540	1	0	0	0
AT3G21055	1	0	2	2
AT3G22235	2	1	1	1
AT1G64350	10	26	11	8
AT5G43320	77	106	62	67
AT2G39850	0	0	0	0
AT5G65030	1	5	71	39
AT5G62040	0	0	0	0
AT1G65681	0	0	0	0
AT1G73980	11	10	11	2
AT4G21030	0	0	0	0
AT1G48920	506	686	869	570
AT1G04120	111	188	130	104
AT5G05420	0	0	0	0
AT2G07792	0	1	0	1
AT1G29450	0	0	0	0
AT3G23060	0	1	0	0
AT4G39420	34	17	11	18
AT4G32850	102	130	60	62
AT5G15680	44	69	29	41
AT5G02960	450	542	469	376
AT5G67240	19	19	21	15
AT5G28931	0	0	0	0
AT2G30470	24	55	32	25
AT1G55460	47	50	59	24
AT2G18900	22	24	25	20
AT2G32795	0	1	0	0
AT5G26751	29	37	21	22
AT1G03090	10	12	12	12
AT3G50835	0	1	0	0
AT5G26912	0	0	0	0
AT1G20580	71	90	64	51
AT5G37790	52	64	36	20
AT1G28660	8	10	0	2
AT2G42247	1	3	3	0
AT2G26320	0	0	0	0
AT5G40560	0	0	0	0
AT1G76970	27	26	26	11
AT3G21620	0	1	0	1
AT1G12910	22	27	20	11
AT2G44110	10	7	5	7
AT4G25100	21	19	26	11
AT5G13320	0	1	0	2
AT1G50100	3	10	17	3
AT3G03280	2	4	1	4
AT1G42980	0	0	1	0
AT2G06200	2	0	0	0
AT4G15540	6	7	2	3
AT3G29638	0	0	0	0
AT3G61780	4	11	7	6
AT5G42290	0	1	1	0
AT5G58003	16	18	18	7
AT4G37580	3	3	6	7
AT3G29760	22	15	16	11
AT3G01680	9	9	8	7
AT3G62140	9	15	11	3
AT1G07270	0	1	0	0
AT1G30550	5	4	7	3
AT3G49470	11	9	7	12
AT5G42146	1	2	1	6
AT1G62670	1	3	2	2
AT1G09440	3	5	2	1
AT5G35338	0	0	0	0
AT4G30720	4	4	5	1
AT3G60990	0	0	0	0
AT5G58940	15	23	16	14
AT1G16590	4	3	0	0
AT1G66440	12	10	6	6
AT1G69818	0	0	0	0
AT2G15555	0	0	0	0
AT4G25350	2	5	2	0
AT1G77235	0	0	0	1
AT5G42250	25	16	13	11
AT5G01890	55	62	36	35
AT1G60230	7	11	8	10
AT2G42750	16	18	20	5
AT4G32320	3	4	4	1
AT1G66320	0	0	0	0
AT1G12700	4	1	3	0
AT5G16460	0	0	0	0
AT1G74600	1	3	1	1
AT2G20750	21	30	9	10
AT5G49460	76	95	37	47
AT1G22970	21	27	21	24
AT3G29720	0	0	0	0
AT4G35880	7	11	1	8
AT2G39445	1	6	1	4
AT4G18060	22	14	12	7
AT5G53280	8	5	5	4
AT2G12462	15	14	7	4
AT1G69580	13	25	26	11
AT3G08030	31	63	16	26
AT1G25290	1	7	2	1
AT3G48810	3	4	3	3
AT4G01360	9	7	7	3
AT1G36730	141	181	155	101
AT5G20840	21	38	20	17
AT1G73460	19	31	25	20
AT5G09850	46	44	91	62
AT2G28760	66	64	50	41
AT2G02520	0	0	0	0
AT5G64980	0	0	1	0
AT4G18940	4	6	4	4
AT3G59845	0	0	0	0
AT1G72550	24	46	20	24
AT4G13060	0	0	0	0
AT3G44430	5	5	5	6
AT5G67320	38	41	44	21
AT1G01770	12	12	7	7
AT2G36400	14	17	7	11
AT3G03860	18	29	9	6
AT1G55090	32	40	21	28
AT4G10265	15	38	8	17
AT5G20260	4	3	4	1
AT5G52550	17	21	17	13
AT1G78080	159	176	146	103
AT1G02475	0	1	0	1
AT3G13065	0	0	0	0
AT4G26990	4	8	3	4
AT1G32470	0	0	0	2
AT1G71440	14	14	7	6
AT3G02050	6	20	10	3
AT5G47320	21	27	27	12
AT1G08480	79	79	57	50
AT2G24880	0	0	0	0
AT1G74510	68	72	70	52
AT3G56470	0	2	2	1
AT5G14070	0	0	4	4
AT1G43000	0	0	0	0
AT2G02060	11	1	0	1
AT3G24340	0	0	0	0
AT5G56020	5	4	5	4
AT3G20030	0	0	0	0
AT4G18270	2	4	1	3
AT1G21560	9	12	9	7
AT1G20696	261	315	226	172
AT2G30130	1	3	0	4
AT3G18200	6	5	2	2
ATCG01010	4	12	9	3
AT5G40395	7	19	18	6
AT4G29640	0	0	0	0
AT2G24980	6	9	6	3
AT5G39250	10	10	9	7
AT1G18030	6	9	6	2
AT2G24630	6	7	5	3
AT3G62630	13	20	5	6
AT3G58840	42	48	53	22
AT1G04500	0	0	0	0
AT5G41730	1	1	1	1
AT1G21130	9	11	2	5
AT3G10985	86	114	38	54
AT1G60850	12	23	20	16
AT2G27200	5	6	6	2
AT5G06930	7	5	7	6
AT1G25500	7	7	8	2
AT1G75000	2	2	3	1
AT2G02710	10	17	15	13
AT5G10290	47	61	77	32
AT4G07410	50	73	57	45
AT1G64980	32	36	21	19
AT4G09030	15	17	6	11
AT4G11700	0	0	0	0
AT5G61740	0	1	0	0
AT5G48220	5	7	3	3
AT3G18780	624	928	538	464
AT3G59030	0	0	0	0
AT1G77670	12	28	22	15
AT1G80325	8	10	7	8
AT2G14270	0	0	0	0
AT4G38500	14	31	12	20
AT2G46200	6	6	5	2
AT4G16590	0	0	0	0
AT1G74590	15	16	6	11
AT1G13350	14	21	18	13
AT3G48550	8	4	3	2
AT3G54030	30	28	23	11
AT4G06676	5	11	7	4
AT4G14800	51	61	23	25
AT5G56710	210	259	251	188
AT1G76050	7	5	7	2
AT1G77210	0	0	0	0
AT2G30984	0	0	0	0
AT1G26800	29	29	36	19
AT2G40290	80	96	68	55
AT4G27510	0	0	2	0
AT4G20430	3	8	2	1
AT2G04660	4	7	10	4
AT3G22425	13	21	7	5
AT5G51260	9	12	11	7
AT3G47480	1	4	2	2
AT1G29750	3	7	2	3
AT5G14250	21	23	22	20
AT2G16575	0	1	1	0
AT1G28550	0	0	0	0
AT5G66320	6	10	6	6
AT1G54770	8	9	9	5
AT3G44220	2	1	5	1
AT1G74860	8	7	9	3
AT4G38010	0	0	1	0
AT2G33930	16	43	31	17
AT3G07030	49	84	87	66
AT4G25910	5	12	8	3
AT3G28910	9	11	17	11
AT4G02110	5	3	1	2
AT2G22410	3	0	2	2
AT4G23490	8	13	5	6
AT1G07200	37	43	43	31
AT3G42860	4	3	2	6
AT4G24970	3	6	5	4
AT1G56720	12	18	13	4
AT1G66430	6	8	18	9
AT5G61550	5	13	4	1
AT4G10230	0	0	0	0
AT2G14390	0	0	0	0
AT5G56620	2	1	3	0
AT1G51900	1	0	0	0
AT3G26782	2	7	5	3
AT1G59520	7	9	7	4
AT1G20350	1	1	0	0
AT3G24270	0	0	0	0
AT3G13227	0	0	0	0
AT2G32680	0	0	0	0
AT4G27310	47	49	35	28
AT4G15320	0	0	0	0
AT1G32020	0	0	0	0
AT1G19740	9	17	11	14
AT1G13245	22	30	78	67
AT5G41910	1	5	1	4
AT4G08160	7	7	3	4
AT1G04180	5	7	4	3
AT1G60790	7	10	7	5
AT5G61210	50	51	58	39
AT3G09405	2	4	1	3
AT3G42380	0	0	0	0
AT1G64400	12	11	10	3
AT5G63620	33	31	23	14
AT3G42385	0	0	0	0
AT4G17890	21	30	14	12
AT4G30400	23	20	12	7
AT3G05050	68	72	78	39
AT2G45400	83	103	82	52
AT4G17670	78	88	26	8
ATMG00100	0	0	1	0
AT3G62010	87	82	54	59
AT3G22900	1	1	1	0
AT3G46150	0	0	0	0
AT3G10760	22	13	14	6
AT2G26480	18	17	10	7
AT2G18917	3	5	2	3
AT3G27540	2	0	2	1
AT5G46325	0	1	0	1
AT3G23580	4	5	15	3
AT1G12760	84	106	107	82
AT5G03110	13	8	11	3
AT5G56550	2	1	2	1
AT1G56570	0	3	0	1
AT2G19800	29	56	22	33
AT5G15540	27	34	10	16
AT5G23540	98	168	96	79
AT4G00120	0	0	0	0
AT1G35035	0	0	0	0
AT1G23740	6	4	6	1
AT5G44670	29	22	11	5
AT5G40240	63	95	42	37
AT5G09950	1	2	0	0
AT1G31310	1	0	0	0
AT3G55677	0	0	0	0
AT1G69960	35	34	17	18
AT2G47960	17	24	12	10
AT1G28950	0	0	0	0
AT1G14470	1	0	0	1
AT2G02580	24	26	20	12
AT1G61450	3	1	2	1
AT4G26220	101	135	67	52
AT3G52960	46	73	172	184
AT2G25820	0	0	0	0
AT3G14970	0	0	0	0
AT2G21465	0	0	0	0
AT3G52070	2	3	0	2
AT2G14206	0	0	0	0
AT5G10030	7	23	47	45
AT2G28740	52	50	40	21
AT4G14670	0	0	0	0
AT2G03980	3	1	2	1
AT4G19050	0	1	0	0
AT4G08770	85	139	68	58
AT4G23840	11	7	8	2
AT1G69200	6	10	4	3
AT5G40490	40	74	63	44
AT1G49990	1	0	0	1
AT1G05291	0	0	0	0
AT1G63855	1	0	2	1
AT5G23750	35	28	27	16
AT4G03811	0	0	0	0
AT1G67900	7	15	17	13
AT2G36890	29	21	26	20
AT3G16650	2	2	0	0
AT4G35460	19	22	14	16
AT4G28550	21	12	9	6
AT1G29630	1	1	2	3
AT1G48200	7	11	4	4
AT1G18310	1	0	0	0
AT1G21760	16	28	21	13
AT2G33740	17	21	8	6
AT5G37730	1	1	0	0
AT5G14345	0	0	0	1
AT3G03120	9	9	3	1
AT5G63660	3	3	0	1
AT2G32540	0	1	2	0
AT5G52860	1	1	0	0
AT5G47730	25	38	24	23
AT1G11450	13	11	10	2
AT2G28970	5	7	9	4
AT4G11655	7	4	2	3
AT5G03210	18	2	5	1
AT3G50682	0	0	0	0
AT4G17486	25	22	11	11
AT5G59380	22	14	15	11
AT2G45830	10	22	20	21
AT5G46320	0	0	0	0
AT5G10370	12	19	10	12
AT4G31110	11	9	4	8
AT1G24010	0	0	0	0
AT4G28395	0	0	0	0
AT3G13870	80	100	75	55
AT1G04710	5	5	3	3
AT1G70050	25	38	41	11
AT2G03250	0	0	0	0
AT5G39493	1	0	0	0
AT3G60030	82	103	83	39
AT5G38590	3	4	3	2
AT1G22850	6	22	9	8
AT3G14010	34	42	17	13
AT3G29810	4	6	7	5
AT1G62420	0	0	2	0
AT5G43130	21	44	26	21
AT3G46613	0	0	0	0
AT5G59480	2	1	1	1
AT5G57620	21	13	20	10
AT4G03620	0	0	1	0
AT3G29690	1	0	0	1
AT1G51080	1	1	4	2
AT3G25545	8	6	5	2
AT1G01090	96	131	107	92
AT5G13870	18	24	10	10
AT3G23255	2	4	1	2
AT1G72170	10	14	7	3
AT1G29440	0	0	0	0
AT3G06370	8	8	23	9
AT2G39390	82	110	100	82
AT4G26570	16	37	20	22
AT1G09110	0	4	2	1
AT3G30805	0	0	0	0
AT3G26932	0	0	2	0
AT2G01023	0	0	0	0
AT1G05750	10	7	6	4
AT5G21010	11	27	19	12
AT3G54460	20	20	12	16
AT5G05230	27	19	19	9
AT5G45970	3	4	4	2
AT1G49770	0	0	0	0
AT2G04410	67	66	47	47
AT2G23900	0	0	0	0
AT4G27620	10	15	7	4
AT5G62640	10	26	15	9
AT1G06700	43	67	34	41
AT1G04730	1	2	3	2
AT2G02120	1	2	1	2
AT5G16640	0	1	1	1
AT4G11190	4	8	1	2
AT4G09900	0	1	0	1
AT5G01734	0	0	0	0
AT5G57130	23	40	28	13
AT4G02020	26	30	32	6
AT3G59990	57	60	53	40
AT3G47400	9	6	3	4
AT4G19810	28	44	13	15
AT2G32000	7	12	13	8
AT2G47220	1	0	2	0
AT4G13345	2	2	2	2
AT5G21274	88	120	116	62
AT3G60805	0	0	0	0
AT5G65250	13	12	14	15
AT5G47450	6	4	3	4
AT5G46105	0	2	2	1
AT5G06940	2	1	1	0
AT1G33080	3	5	5	7
AT1G04320	1	7	4	2
AT3G19330	4	5	2	0
AT5G66815	7	4	3	2
AT2G30920	8	5	6	3
AT5G01015	1	0	1	0
AT4G33100	10	10	4	10
AT3G24240	79	90	55	35
AT3G06290	18	35	16	21
AT1G56300	4	7	2	2
AT5G42910	0	0	0	0
AT4G33560	56	110	42	46
AT1G73470	2	2	1	0
AT3G49668	0	4	3	1
AT5G57980	6	6	0	3
AT3G19600	0	0	0	0
AT3G50740	166	273	84	79
AT2G20080	6	8	4	5
AT1G45170	3	7	7	2
AT1G62810	40	50	20	18
AT5G06200	6	5	0	0
AT1G59820	35	40	38	29
AT1G76062	0	1	0	0
AT1G15215	2	2	2	3
AT5G39420	1	0	0	0
AT4G24780	110	167	58	47
AT3G13410	56	77	49	39
AT4G27950	13	18	18	13
AT2G39130	11	30	12	7
AT5G06040	0	0	0	0
AT3G42570	0	0	0	0
AT3G32030	2	9	0	4
AT4G23370	0	0	0	0
AT3G52360	27	65	195	154
AT1G24300	38	45	32	25
AT1G33480	0	5	0	1
AT1G72510	131	166	156	100
AT3G48900	0	0	2	1
AT1G70590	29	28	16	9
AT5G02830	8	2	4	2
AT4G24450	1	1	0	0
AT2G45060	14	15	16	10
AT5G62270	37	55	37	33
AT1G04790	9	16	9	5
AT1G64130	10	27	25	9
AT5G63150	14	18	20	9
AT5G40020	3	10	1	2
AT2G30940	0	0	0	0
AT2G37478	36	39	18	19
AT2G41705	7	21	10	5
AT3G17040	4	7	5	3
AT4G13240	0	0	0	0
AT3G17010	0	0	0	0
AT5G28490	0	0	1	0
AT1G17370	40	58	31	49
AT2G41440	7	11	38	20
AT1G23230	16	35	23	17
AT3G57560	13	25	17	11
AT1G71900	10	14	10	4
