GENE	Control1SE	Control2SE	Nitrate1SE	Nitrate2SE
AT1G07700	8	6	6	5
AT1G33750	16	13	5	6
AT3G28680	0	0	0	0
AT3G51880	46	45	43	18
AT1G61270	7	8	1	2
AT1G14750	1	1	0	0
AT5G62760	11	10	8	9
AT3G18035	61	101	72	47
AT1G05900	1	3	2	2
AT2G16505	0	0	0	0
AT5G17210	4	9	5	8
AT5G02190	0	1	1	2
AT1G44120	4	2	0	2
AT4G01995	0	2	0	1
AT2G07785	0	0	1	1
AT1G52990	0	0	0	0
AT4G21320	8	31	20	8
AT1G37130	548	1045	1193	1417
AT5G42957	0	0	0	0
AT4G28365	0	0	0	0
AT5G55560	14	16	7	8
AT3G14400	36	51	51	27
AT5G65820	3	1	5	0
AT4G02300	0	0	0	0
AT2G25330	0	1	1	1
AT5G32590	0	0	0	0
AT3G18840	1	0	1	0
AT1G48175	6	7	5	3
AT2G28560	0	0	1	0
AT5G63190	94	111	79	65
AT1G72140	1	3	0	0
AT2G21140	0	0	0	1
AT4G00530	0	2	2	2
AT2G01300	1	0	5	0
AT1G43260	0	0	0	0
AT1G01710	12	29	11	2
AT4G15460	0	1	0	0
AT2G35240	8	24	16	9
AT5G38120	0	0	0	0
AT4G28170	0	1	0	0
AT1G44000	3	7	6	3
AT1G73960	21	24	19	9
AT4G31570	60	68	54	49
AT2G35960	3	2	0	0
AT1G11360	53	60	52	44
AT2G33400	9	7	10	2
AT5G02810	49	36	47	15
AT1G04490	1	0	0	2
AT1G15310	5	7	4	4
AT1G13300	11	7	142	106
AT3G12010	19	19	18	7
AT1G55530	27	48	34	17
AT5G56745	5	10	8	4
AT3G19660	26	34	17	19
AT1G74458	4	1	4	2
AT4G01595	3	3	3	0
AT4G30280	29	54	26	30
AT4G10050	15	26	15	12
AT2G02180	27	33	15	15
AT5G07625	0	0	0	0
AT2G42690	2	3	6	3
AT1G32120	7	9	6	7
AT1G17260	0	3	0	1
AT4G25160	1	5	2	0
AT2G39570	41	56	39	33
AT2G23060	1	2	3	0
AT1G31480	20	24	12	12
AT4G15880	26	17	19	15
AT4G26620	21	32	25	14
AT1G17500	84	88	42	51
AT1G21150	0	0	0	0
AT3G04990	0	0	0	0
AT2G22120	16	31	28	19
AT1G78110	25	41	44	23
AT1G80080	0	0	0	0
AT3G46840	0	1	0	0
AT2G47470	188	199	159	95
AT4G02790	1	6	3	3
AT4G19410	34	47	20	18
AT1G23260	46	61	43	25
AT1G09790	0	0	0	0
AT3G58710	40	72	31	27
AT5G65100	0	0	0	0
AT5G57350	31	38	19	26
AT5G32613	0	0	0	0
AT2G03955	0	0	0	0
AT1G25400	12	13	15	10
AT3G29100	2	2	0	0
AT2G46890	13	23	7	12
AT1G77980	0	0	0	0
AT1G43140	1	2	1	0
AT2G39770	211	333	167	159
AT3G58810	25	32	12	6
AT1G42470	16	17	9	6
AT5G16130	121	176	138	108
AT3G05640	4	4	4	1
AT4G35520	1	3	2	0
AT2G24180	63	84	58	28
AT4G10790	64	64	50	33
AT3G28330	0	0	0	0
AT2G29970	29	42	27	20
AT1G34170	0	0	0	0
AT3G51915	0	0	1	0
AT1G56150	0	0	0	0
AT3G24440	29	38	35	26
AT3G27500	4	4	3	1
AT1G75520	3	8	4	4
AT5G27470	57	103	60	67
AT5G03260	4	2	3	2
AT5G01370	4	3	1	1
AT5G26920	5	6	5	0
AT2G40340	9	11	7	6
AT2G03620	6	11	9	8
AT4G37950	0	1	0	0
AT5G54750	33	48	29	19
AT5G47180	7	17	9	7
AT5G04810	12	18	23	15
AT5G44000	6	9	8	2
AT5G08020	1	6	8	4
AT5G64570	40	73	24	11
AT1G43722	0	0	0	0
AT4G03723	0	0	0	0
AT4G36250	22	25	9	17
AT1G73370	5	8	4	5
AT5G14060	23	44	65	64
AT3G61190	12	4	19	7
AT5G11480	10	15	9	9
AT1G01230	19	11	7	4
AT4G14680	6	11	3	10
AT2G27930	0	1	0	1
AT1G49020	0	0	1	0
AT1G70700	1	3	1	1
AT3G15010	53	69	65	56
AT5G05270	188	219	161	88
AT2G03230	0	0	1	0
AT2G34770	9	19	3	8
AT2G01540	50	77	55	42
AT1G02380	4	4	1	1
AT4G17895	3	2	6	3
AT1G48870	20	14	5	3
